"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s wurde erfolgreich zu Ihrem Wunschzettel hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a>"
"%1$s has been updated in your wishlist.","%1$s wurde aktualisiert in Ihrem Wunschzettel."
"%d product(s) have been added to shopping cart: %s.","%d Artikel wurden dem Warenkorb hinzugefügt: %s."
"%s for ""%s"".","%s für ""%s"""
"%s's Wishlist","Wunschzettel von %s"
"* Required Fields","* Pflichtfelder"
"RSS link to %s's wishlist","RSS-Link zu Wunschzettel von %s"
"Remove Item","Artikel entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Remove item","Artikel entfernen"
"Share Options","Verteilungsoptionen"
"Share Wishlist","Wunschzettel verteilen"
"Share Your Wishlist","Verteilen Sie Ihren Wunschzettel"
"Sharing Information","Verteilungsinformationen"
"This product(s) is currently out of stock","Diese Artikel sind momentan nicht auf Lager"
"Unable to add the following product(s) to shopping cart: %s.","Nicht möglich die folgenden Artikel dem Warenkorb hinzuzufügen: %s."
"Update Wishlist","Wunschzettel aktualisieren"
"User description","Benutzerbeschreibung"
"View Details","Details ansehen"
"View Product","Artikel ansehen"
"What's this?","Was ist das?"
"Wishlist","Wunschzettel"
"Wishlist Section","Wunschzettel"
"Wishlist Sharing","Wunschzettel verteilen"
"Wishlist is empty now.","Der Wunschzettel ist nun leer."
"You have no items in your wishlist.","Sie haben keine Artikel auf Ihrem Wunschzettel."
"Your Wishlist has been shared.","Ihr Wunschzettel wurde erfolgreich verteilt."
